Date,Stock Splits,Symbol
2002-06-03,1:10,ANIP
2012-06-04,1:6,ANIP
2013-07-18,1:6,ANIP
1985-11-12,3:1,ANIX
1987-09-16,5:4,ANIX
1991-03-19,2:1,ANIX
1996-06-18,2:1,ANIX
2015-06-26,1:25,ANIX
2004-10-05,2:1,ANSS
2007-06-05,2:1,ANSS
2019-04-11,1:5,ANTE
2022-12-12,1:4,ANTE
2017-07-12,1:25,ANY
2018-11-06,1:8,ANY
2023-06-29,1:7,ANY
1987-05-27,2:1,AON
1994-05-17,3:2,AON
1997-05-15,3:2,AON
1999-05-18,3:2,AON
1996-07-01,2:1,AORT
2000-12-28,3:2,AORT
1993-08-17,2:1,AOS
1998-08-18,3:2,AOS
2010-11-16,3:2,AOS
2013-05-16,2:1,AOS
2016-10-06,2:1,AOS
1979-05-15,4:3,APA
1980-05-15,3:2,APA
1981-02-20,3:2,APA
2001-12-27,11:10,APA
2003-03-10,105:100,APA
2004-01-15,2:1,APA
1981-02-02,4:3,AP
1986-06-06,2:1,APD
1992-03-10,2:1,APD
1998-06-16,2:1,APD
2016-10-03,1081:1000,APD
2014-10-29,1:60,APDN
2019-11-01,1:40,APDN
2024-04-25,1:20,APDN
2000-04-26,2:1,APH
2004-03-30,2:1,APH
2007-04-02,2:1,APH
2014-10-10,2:1,APH
2021-03-05,2:1,APH
2024-06-12,2:1,APH
2022-04-13,1:6,APLD
2023-01-23,1:10,APM
1978-10-31,3:2,APOG
1979-10-30,5:4,APOG
1980-11-25,5:4,APOG
1981-11-24,4:3,APOG
1982-11-29,5:4,APOG
1983-11-21,5:4,APOG
1986-09-15,4:3,APOG
1997-02-18,2:1,APOG
2006-08-18,25:10,APPS
2013-04-15,1:5,APPS
2023-02-13,1:20,APRE
2010-06-01,1:30,APTO
2014-10-06,1:12,APTO
2017-12-05,1193:1000,APTV
2020-03-27,1:14,APVO
2024-03-06,1:44,APVO
2023-10-16,1:20,AQB
2017-11-16,1:7,ARCT
2022-02-07,1:80,AREB
2023-06-27,1:25,AREB
2022-02-09,1:22,AREN
1989-09-18,1:2,ARL
1990-12-11,1:3,ARL
1996-01-16,2:1,ARL
1997-03-03,2:1,ARL
2005-09-16,2:1,ARLP
2014-06-17,2:1,ARLP
2023-10-02,1385:1000,ARMK
2010-11-11,1:4,ARMN
2013-06-18,1:25,ARMN
2017-04-27,1:15,ARMN
2006-05-11,1:10,ARMP
2015-08-07,1:50,ARMP
2017-04-25,1:10,ARMP
2019-05-10,1:14,ARMP
1985-10-02,5:4,AROW
1986-06-02,2:1,AROW
1987-09-02,2:1,AROW
1996-10-09,11:10,AROW
1997-11-12,105:100,AROW
1998-07-30,11:10,AROW
1999-11-01,5:4,AROW
2001-10-31,105:100,AROW
2002-10-31,105:100,AROW
2003-09-30,5:4,AROW
2004-09-20,103:100,AROW
2005-09-20,103:100,AROW
2006-09-20,103:100,AROW
